3.780000000000000000e+02 4.830000000000000000e+02 3.200000000000000000e+02 6.290000000000000000e+02 4.840000000000000000e+02 3.520000000000000000e+02 4.050000000000000000e+02 6.580000000000000000e+02 6.280000000000000000e+02 5.190000000000000000e+02
3.690000000000000000e+02 4.700000000000000000e+02 3.130000000000000000e+02 6.200000000000000000e+02 4.950000000000000000e+02 3.490000000000000000e+02 4.040000000000000000e+02 6.850000000000000000e+02 6.500000000000000000e+02 5.110000000000000000e+02
3.320000000000000000e+02 4.310000000000000000e+02 2.850000000000000000e+02 5.660000000000000000e+02 4.700000000000000000e+02 3.150000000000000000e+02 3.700000000000000000e+02 6.210000000000000000e+02 6.040000000000000000e+02 5.020000000000000000e+02
3.560000000000000000e+02 4.510000000000000000e+02 2.980000000000000000e+02 5.910000000000000000e+02 4.780000000000000000e+02 3.350000000000000000e+02 3.700000000000000000e+02 6.690000000000000000e+02 6.380000000000000000e+02 5.150000000000000000e+02
3.780000000000000000e+02 5.030000000000000000e+02 3.250000000000000000e+02 6.390000000000000000e+02 5.060000000000000000e+02 3.530000000000000000e+02 4.090000000000000000e+02 7.010000000000000000e+02 6.480000000000000000e+02 5.340000000000000000e+02
3.610000000000000000e+02 4.600000000000000000e+02 2.930000000000000000e+02 6.070000000000000000e+02 4.820000000000000000e+02 3.260000000000000000e+02 3.650000000000000000e+02 6.430000000000000000e+02 5.990000000000000000e+02 4.930000000000000000e+02
3.730000000000000000e+02 4.700000000000000000e+02 3.070000000000000000e+02 6.050000000000000000e+02 4.650000000000000000e+02 3.260000000000000000e+02 3.870000000000000000e+02 6.470000000000000000e+02 6.360000000000000000e+02 5.350000000000000000e+02
3.510000000000000000e+02 4.720000000000000000e+02 3.020000000000000000e+02 6.060000000000000000e+02 4.910000000000000000e+02 3.460000000000000000e+02 3.730000000000000000e+02 6.360000000000000000e+02 6.050000000000000000e+02 4.950000000000000000e+02
3.830000000000000000e+02 4.820000000000000000e+02 3.170000000000000000e+02 6.310000000000000000e+02 4.750000000000000000e+02 3.510000000000000000e+02 3.990000000000000000e+02 6.400000000000000000e+02 6.130000000000000000e+02 5.430000000000000000e+02
3.500000000000000000e+02 4.260000000000000000e+02 2.920000000000000000e+02 5.790000000000000000e+02 4.580000000000000000e+02 3.180000000000000000e+02 3.770000000000000000e+02 6.390000000000000000e+02 5.820000000000000000e+02 4.950000000000000000e+02
